,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75
16,328.7892008,262.8791597,246.1298367,196.4655677,192.8983684,183.4459703,217.2696072,241.8022297,205.459773,165.7426957,139.1675867,93.10098264,61.44192942,101.9127035,41.63591298,0,53.80369474,111.6735017,169.4578072,207.7569976,155.8856482,230.1736305,233.8601571,159.9224913,207.3592382,238.5961754,285.0159614,96.66618317,115.1460887,73.89304304,111.7422125,154.4454382,180.1159482,145.4951665,178.9542063,279.5247749,204.6745063,234.4775799,276.2826659,334.1269744,271.9779082,359.2172278,338.9655612,399.5112579,277.0090356,345.8852771,414.4412525,374.4332382,297.3544397,335.6682464,382.5119693,344.5426832,428.1447767,406.3655621,445.506512,491.1413165,479.7018664,529.7218783,531.6941326,469.7028267,512.216993,568.2407743,430.3727223,523.5509946,520.9769603,476.904538,443.1028835,470.7686586,546.2085118,44.58270988,72.99688251,286.1070957,144.6526964,185.6258226,326.7313145
17,347.9137222,284.4633495,254.5036323,196.9638257,183.5187669,196.3881244,241.1629699,272.4095107,236.7270528,201.3259996,166.4080968,127.9933477,103.7163887,151.5799416,93.67413073,53.80369474,0,98.97494801,149.350131,175.7209229,115.6499067,184.1799223,181.0789307,106.6703737,156.5678684,185.5468198,235.7254067,48.61682386,62.59418889,48.25540898,71.56655257,111.6921324,132.5300684,123.3636189,177.3701412,284.9874507,175.3766689,211.785273,239.3395979,294.9522277,228.0079071,310.3635242,295.0403945,354.044746,223.4193447,292.8056566,361.7090331,322.7747392,245.6679088,283.049406,328.9819958,290.738991,374.3893571,352.7713837,391.9185704,437.3491565,426.133847,475.9685066,478.5117594,417.8618205,459.9377976,516.0656678,380.6624806,472.7467777,472.6770324,428.2425781,395.7863142,425.0925254,501.8128916,51.5901465,71.60638698,312.7519062,152.9882524,210.7012964,275.538767
18,260.4694071,201.9465603,160.1429161,99.54549714,84.8434364,109.3272247,164.5099875,204.1422193,172.7827025,150.8961164,106.733416,98.08976941,103.0505618,150.8563349,145.9951135,111.6735017,98.97494801,0,58.25250474,104.1390809,77.39900323,152.4308416,188.1624372,133.8373524,215.9841266,227.8408669,294.5675656,79.40902844,132.488433,147.2202239,163.159484,195.5777742,205.0258802,221.1096592,275.6958917,382.2388399,268.4957688,307.68518,323.3899952,374.3351876,301.4169165,367.3084346,365.903352,419.635282,254.955802,327.1045665,396.5803439,366.683752,237.1673472,279.8275436,335.0818954,309.0079925,384.8684079,377.1914557,415.1801328,448.2645867,448.8517911,492.5055942,505.7718513,457.698605,495.8245358,551.6346368,432.1400406,517.1920481,527.4193988,482.5737858,455.2596743,488.5636611,567.2377979,67.09080584,39.29302379,235.8302519,66.17570284,139.0143334,324.0965555
19,247.1219897,198.5866232,140.4471003,78.62222864,46.22256258,111.4759087,171.5292235,215.6973625,190.8886429,181.191181,137.8532741,146.0784812,158.0578199,201.9916262,204.2307909,169.4578072,149.350131,58.25250474,0,55.00947886,71.08216088,123.8645686,178.6453625,146.2327306,233.775436,234.6280428,307.0699838,115.4911317,166.1396068,196.3167234,204.2012798,229.5360788,231.3743649,265.8159305,326.3292835,434.3083471,306.6612727,348.2815529,352.2795433,398.3595565,323.1695185,375.8381131,383.8592437,432.6065793,253.2665757,323.0446084,390.4123165,366.977287,213.2861901,256.2238442,314.2126513,296.2952911,364.7813328,365.3879455,401.5929832,426.8201576,434.1322851,473.3560645,492.586825,453.0414347,487.9887291,542.6901868,435.3999408,514.2946916,531.0392242,486.6647845,463.3022547,498.7521563,577.7045963,124.963922,97.54341721,236.7308519,82.62960596,154.466227,328.8585229
20,285.3363841,244.0032823,179.2902254,123.4562418,87.01513433,162.6136285,221.9700609,266.7232625,244.0210367,236.0936092,192.8616847,198.913928,207.171447,253.845538,246.1275014,207.7569976,175.7209229,104.1390809,55.00947886,0,65.40338099,77.90317821,143.7355356,135.0393532,219.5652988,210.2475191,284.8889299,131.7293827,172.8602353,218.0057543,215.6979282,231.7835827,225.6578759,278.8513448,346.1436253,455.0303101,310.4681472,353.9141576,344.6814597,384.8369027,309.1593638,348.5133821,364.7824098,408.1765486,220.7745225,286.6544018,351.3395025,333.0896556,165.8439935,207.9760717,266.6618867,254.1957762,317.1270077,322.7764129,357.4276147,377.986043,388.988813,425.4551556,447.9571079,414.3271192,446.7867195,500.3973727,402.8196825,476.2944924,497.7562591,454.1579621,434.2490814,471.0966702,549.5703889,165.144828,141.1000069,283.2192679,137.4386479,207.5819654,299.3673619
21,317.2786835,265.7171403,211.027077,148.4007694,117.301968,174.7252694,233.8748806,276.1525547,247.0704672,227.9743708,183.5944063,173.3473283,171.1637753,222.29028,196.7699513,155.8856482,115.6499067,77.39900323,71.08216088,65.40338099,0,77.74249409,112.9048592,76.03825776,163.5607956,163.7277984,235.9915469,68.60215928,107.5232222,154.571862,150.3116659,167.5139502,164.3571131,213.4620488,281.3741306,390.2190638,246.1231926,289.2719453,284.9218892,328.8583186,253.3484694,305.0152696,313.0945231,361.5289858,184.4462784,255.5126221,324.0742202,297.9472813,159.8452625,202.4383433,257.8195603,233.4208456,307.7561751,302.1460945,339.6129768,371.0506102,372.9990693,415.6582672,430.4965449,386.1409275,422.7107409,478.096575,365.6595201,446.7454794,461.341224,416.7941831,392.6394857,427.8586157,506.8244558,118.3372141,101.9026731,302.5637725,136.6892278,211.8292668,258.5465712
22,363.2232677,320.4612451,257.0075068,199.4880622,163.4530121,235.3341093,295.3709913,339.5503964,313.9294145,299.9287694,255.4907239,250.0368942,248.9062524,299.9525254,271.6570947,230.1736305,184.1799223,152.4308416,123.8645686,77.90317821,77.74249409,0,71.70918403,98.86412201,166.028365,145.2373316,219.1645986,135.6716177,154.0034373,214.1621032,197.4531056,198.9380516,182.615666,257.2901353,330.7711674,437.4951532,274.4076125,318.410184,292.9623655,325.5245633,251.2688751,277.1085824,300.2745033,338.3843161,147.5511133,210.1765743,273.75995,257.5491796,89.4602991,132.3596049,190.4796365,176.3009815,241.059096,244.8883511,279.7740211,302.9562348,311.6372488,349.6229266,370.475568,336.7470035,368.8882974,422.5250759,327.5997285,398.811447,421.8794448,378.7755777,360.9332633,398.4891989,476.3156925,195.2476312,179.6293562,359.3044171,203.7209407,277.6661722,226.9643655
23,424.9891149,376.9014257,318.0885952,257.2210818,222.9986057,287.0868022,346.5710587,389.0491198,359.790282,338.8555987,294.8715608,278.3543632,268.5391372,320.6189412,274.666124,233.8601571,181.0789307,188.1624372,178.6453625,143.7355356,112.9048592,71.70918403,0,74.68912851,104.2259142,75.20983797,147.9156562,138.9827329,130.3739297,195.4179867,167.0000075,154.0401274,129.4249567,218.0731088,293.1602366,394.8704492,221.5440298,264.4216299,227.833875,255.9589297,183.1228559,205.8686286,229.0490749,266.8068155,77.07146124,144.5208794,211.8912335,189.7085249,67.21030195,101.9827388,150.4670482,120.8553351,198.7076647,189.3164022,227.0576274,262.3721392,260.6894326,305.1280303,317.7896096,274.4153802,310.0593795,365.2861942,259.2036348,335.6669887,354.3762056,310.5663167,290.7184041,327.8694566,406.1055191,209.7887031,203.4771552,414.460472,249.5829641,324.7046148,156.0829077
24,389.3129187,334.211684,284.2685997,221.212527,192.2809075,241.6273831,298.2590238,337.801147,305.6026095,279.2434436,236.9190552,213.1338169,199.0333971,250.6118814,200.3434434,159.9224913,106.6703737,133.8373524,146.2327306,135.0393532,76.03825776,98.86412201,74.68912851,0,87.5985377,94.03798532,162.3589192,68.07273731,58.23542084,122.6469929,99.73914424,101.2069848,90.72240646,158.4534859,232.268282,338.6450474,178.6913984,222.7058082,209.9383972,252.8283193,177.3125706,233.9005605,237.7212259,288.0657267,124.18463,196.2800618,266.1451014,233.5095491,140.6950154,176.6240226,222.66399,186.6340196,268.9819979,251.5962234,290.5545429,332.3383467,324.7658449,372.6352408,379.4409995,325.9383892,365.5612458,421.7136911,298.3280307,384.4644583,393.5824831,348.7389721,321.8918152,355.8879418,434.7738646,139.7591902,138.787509,369.2136296,199.7058786,272.6567176,190.2769857
25,474.9909871,417.9127557,370.8735072,307.8314941,279.7358844,325.2312999,379.7018787,416.963461,383.1171786,352.3899216,312.749438,281.3432811,260.0000494,307.9627986,241.1838707,207.3592382,156.5678684,215.9841266,233.775436,219.5652988,163.5607956,166.028365,104.2259142,87.5985377,0,44.51600213,80.20123519,139.5700591,94.43782665,143.1089196,103.3411951,68.92352511,35.76787763,131.3283668,203.3158534,297.6884519,119.7706752,161.3645502,127.1299169,165.6358809,89.94497778,154.7615629,150.693965,203.8105337,85.91135941,143.4571976,209.3025067,167.2543677,161.2180799,179.9830415,205.4804389,157.5131643,241.4978418,207.9397392,246.235773,300.382638,279.6757585,332.7286359,327.9347764,262.5735044,305.5808447,361.3841474,224.2129767,316.3239874,317.0918191,272.42085,241.6888996,273.4392173,351.7563248,203.658119,211.8007987,451.4881661,282.0644164,352.2564296,119.3765663
